#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*ხველება"] | [slemma = "დახველება"] 
# Matches:        436
# Excluded:       0
# Execution time: 0.020667 sec. (0.012977 CPU sec.)
#
# match	slemma	lemma	features	
#
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ხველებაც	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg Encl:ც Foc
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ხველებას	ხველება	ხველებ[ა]/ხველ	N VN Dat Sg
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ახველებდა	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ახველებს	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Pres <S-DO> <S:Dat> <DO:Nom> S:3Sg DO:3 ¦ V Act Pres <S-DO> <S:Nom> <DO:Dat> S:3Sg DO:3
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ხველება	ხველება	ხველებ[ა]/ხველ	N VN Nom Sg
ვახველებდი	ხველება¦*ხველება	ხველებ[ა]/ხველ¦*-ხველებ[ა]/ხველ	V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> DO:1Sg S:3Sg ¦ V MedAct Inv Impf <S-DO> <S:Dat> <DO:Nom> DO:1Sg S:3Pl ¦ V Act Impf <S-DO> <S:Nom> <DO:Dat> S:1Sg DO:3
ხველებას	ხველება	ხველებ[ა]/ხველ	N VN Dat Sg
