#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*სმა"] | [slemma = "დალევა"] 
# Matches:        15619
# Excluded:       0
# Execution time: 0.044074 sec. (0.033375 CPU sec.)
#
# match	slemma	lemma	features	
#
დაილიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv SV <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3 ¦ V Act Aor Pv SV <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დალიეს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Pl DO:3
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დალევ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:2Sg DO:3
დავლიეთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დალია	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დალევ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Fut Pv <S-DO> <S:Nom> <DO:Dat> S:2Sg DO:3
დავლიეთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
